Data_Set,Data Type,Parameter,Value,Genotype
2,r2GLS,AIC,-160234243.85006487,Posterior Probability
2,r2GLS,init,0.067495748578787526,Posterior Probability
2,r2GLS,lam,-2.9901959115067232e-07,Posterior Probability
50,r2GLS,AIC,-211420773.9200519,Called
50,r2GLS,init,0.050259002161647075,Called
50,r2GLS,lam,-1.4768608283010308e-06,Called
50,r2GLS,AIC,-211420771.77752268,Posterior Probability
50,r2GLS,init,0.050259001991399953,Posterior Probability
50,r2GLS,lam,-1.4768606259552022e-06,Posterior Probability
20,r2GLS,AIC,-211586843.20054281,Called
20,r2GLS,init,0.050084659566736536,Called
20,r2GLS,lam,-1.4710599998188321e-06,Called
20,r2GLS,AIC,-211312367.87307182,Posterior Probability
20,r2GLS,init,0.050246459592402946,Posterior Probability
20,r2GLS,lam,-1.4689759283530145e-06,Posterior Probability
10,r2GLS,AIC,-214625802.30371296,Called
10,r2GLS,init,0.047087121906811261,Called
10,r2GLS,lam,-1.3723148712455024e-06,Called
10,r2GLS,AIC,-209345505.29149237,Posterior Probability
10,r2GLS,init,0.050199571363692359,Posterior Probability
10,r2GLS,lam,-1.3346260904659245e-06,Posterior Probability
5,r2GLS,AIC,-226512356.24616751,Called
5,r2GLS,init,0.036799059761887506,Called
5,r2GLS,lam,-1.0287836510510741e-06,Called
5,r2GLS,AIC,-201043879.00993124,Posterior Probability
5,r2GLS,init,0.051291867904459477,Posterior Probability
5,r2GLS,lam,-9.1834854585815182e-07,Posterior Probability
2,r2GLS,AIC,-239422323.95074484,Called
2,r2GLS,init,0.0246001145655243,Called
2,r2GLS,lam,-4.0417614368906135e-07,Called
