River,Data Type,Parameter,Value,Predation_Level
Aripo,r2GLS,AIC,-204790387.83423993,High
Aripo,r2GLS,init,0.24832783766048702,High
Aripo,r2GLS,lam,-9.0810005819074339e-07,High
Aripo,r2GLS,AIC,-65738788.239133999,Low
Aripo,r2GLS,init,0.39032389209174445,Low
Aripo,r2GLS,lam,-1.0911885815774632e-06,Low
Marianne,r2GLS,AIC,-107224167.01691981,High
Marianne,r2GLS,init,0.34667315399557552,High
Marianne,r2GLS,lam,-1.9878102481410066e-06,High
Marianne,r2GLS,AIC,-12796468.696995577,Low
Marianne,r2GLS,init,0.62375922613215395,Low
Marianne,r2GLS,lam,-6.419365969796254e-07,Low
Quare,r2GLS,AIC,-242668698.66534832,High
Quare,r2GLS,init,0.24307552727881812,High
Quare,r2GLS,lam,-7.6660917449251909e-07,High
Quare,r2GLS,AIC,-22064656.06584252,Low
Quare,r2GLS,init,0.53496588411939816,Low
Quare,r2GLS,lam,-1.7418636556664192e-06,Low
Yarra,r2GLS,AIC,-79753325.694457188,High
Yarra,r2GLS,init,0.41665291827574363,High
Yarra,r2GLS,lam,-2.304380033383358e-06,High
Yarra,r2GLS,AIC,-83155843.867947415,Low
Yarra,r2GLS,init,0.44621719205078009,Low
Yarra,r2GLS,lam,-3.5108829091010164e-07,Low
