Data_Set,Data Type,Parameter,Value
Duck_10_10.ld,r2GLS,AIC,-493894732.89328021
Duck_10_10.ld,r2GLS,init,0.085426839101606644
Duck_10_10.ld,r2GLS,lam,-2.0638193254421069e-07
Duck_10_1.ld,r2GLS,AIC,-495052682.66527915
Duck_10_1.ld,r2GLS,init,0.084137778845254807
Duck_10_1.ld,r2GLS,lam,-1.749112331142492e-07
Duck_10_2.ld,r2GLS,AIC,-494282003.54525435
Duck_10_2.ld,r2GLS,init,0.085546572367014573
Duck_10_2.ld,r2GLS,lam,-2.1467292170126708e-07
Duck_10_3.ld,r2GLS,AIC,-494450072.26826012
Duck_10_3.ld,r2GLS,init,0.085052405654081481
Duck_10_3.ld,r2GLS,lam,-1.9240296940443909e-07
Duck_10_4.ld,r2GLS,AIC,-494757306.87925243
Duck_10_4.ld,r2GLS,init,0.084268004982012548
Duck_10_4.ld,r2GLS,lam,-1.8652714197601531e-07
Duck_10_5.ld,r2GLS,AIC,-494424247.17897928
Duck_10_5.ld,r2GLS,init,0.084702835254440861
Duck_10_5.ld,r2GLS,lam,-1.8317570006486972e-07
Duck_10_6.ld,r2GLS,AIC,-494329803.55393618
Duck_10_6.ld,r2GLS,init,0.08461917890721482
Duck_10_6.ld,r2GLS,lam,-1.7897968861467372e-07
Duck_10_7.ld,r2GLS,AIC,-494260489.3909145
Duck_10_7.ld,r2GLS,init,0.084449582782082061
Duck_10_7.ld,r2GLS,lam,-1.8979189767667602e-07
Duck_10_8.ld,r2GLS,AIC,-494069997.08160561
Duck_10_8.ld,r2GLS,init,0.085454794270151346
Duck_10_8.ld,r2GLS,lam,-2.0292966175534827e-07
Duck_10_9.ld,r2GLS,AIC,-494062391.74664783
Duck_10_9.ld,r2GLS,init,0.085481573588446116
Duck_10_9.ld,r2GLS,lam,-2.0916922466001403e-07
Duck_1_10.ld,r2GLS,AIC,-493780908.8354556
Duck_1_10.ld,r2GLS,init,0.085028951441822057
Duck_1_10.ld,r2GLS,lam,-1.8995407854123923e-07
Duck_1_1.ld,r2GLS,AIC,-493269571.70727676
Duck_1_1.ld,r2GLS,init,0.085250450009609735
Duck_1_1.ld,r2GLS,lam,-1.9595561974971932e-07
Duck_1_2.ld,r2GLS,AIC,-494251941.63525563
Duck_1_2.ld,r2GLS,init,0.085185396582451209
Duck_1_2.ld,r2GLS,lam,-1.9629114948039056e-07
Duck_1_3.ld,r2GLS,AIC,-494103449.70217305
Duck_1_3.ld,r2GLS,init,0.085304940240844548
Duck_1_3.ld,r2GLS,lam,-2.0604104354924584e-07
Duck_1_4.ld,r2GLS,AIC,-494521519.66239625
Duck_1_4.ld,r2GLS,init,0.084755144000119909
Duck_1_4.ld,r2GLS,lam,-1.9792871461004964e-07
Duck_1_5.ld,r2GLS,AIC,-494132371.65365618
Duck_1_5.ld,r2GLS,init,0.085326905079380816
Duck_1_5.ld,r2GLS,lam,-1.8459178330685105e-07
Duck_1_6.ld,r2GLS,AIC,-493593131.14818114
Duck_1_6.ld,r2GLS,init,0.085334941875723463
Duck_1_6.ld,r2GLS,lam,-2.09931669784434e-07
Duck_1_7.ld,r2GLS,AIC,-494231373.81283438
Duck_1_7.ld,r2GLS,init,0.085737797791107268
Duck_1_7.ld,r2GLS,lam,-2.0584653298522177e-07
Duck_1_8.ld,r2GLS,AIC,-493635184.58248007
Duck_1_8.ld,r2GLS,init,0.085152683481915153
Duck_1_8.ld,r2GLS,lam,-1.9939561301723576e-07
Duck_1_9.ld,r2GLS,AIC,-494881362.79383242
Duck_1_9.ld,r2GLS,init,0.084742419083544518
Duck_1_9.ld,r2GLS,lam,-2.0006792704493495e-07
Duck_2_10.ld,r2GLS,AIC,-494621438.24797398
Duck_2_10.ld,r2GLS,init,0.085049773705472231
Duck_2_10.ld,r2GLS,lam,-1.947453228880148e-07
Duck_2_1.ld,r2GLS,AIC,-493811364.00640255
Duck_2_1.ld,r2GLS,init,0.085487724163668261
Duck_2_1.ld,r2GLS,lam,-2.0461700385122509e-07
Duck_2_2.ld,r2GLS,AIC,-494078525.26904249
Duck_2_2.ld,r2GLS,init,0.085162866612242955
Duck_2_2.ld,r2GLS,lam,-1.9134590296148408e-07
Duck_2_3.ld,r2GLS,AIC,-495073689.14310092
Duck_2_3.ld,r2GLS,init,0.085124662358720724
Duck_2_3.ld,r2GLS,lam,-1.9038928798500035e-07
Duck_2_4.ld,r2GLS,AIC,-494776888.2517311
Duck_2_4.ld,r2GLS,init,0.084986657296803353
Duck_2_4.ld,r2GLS,lam,-2.0621337891931809e-07
Duck_2_5.ld,r2GLS,AIC,-494621935.24635911
Duck_2_5.ld,r2GLS,init,0.085017532795556419
Duck_2_5.ld,r2GLS,lam,-1.9007941370329488e-07
Duck_2_6.ld,r2GLS,AIC,-494315366.93715692
Duck_2_6.ld,r2GLS,init,0.085272697799730762
Duck_2_6.ld,r2GLS,lam,-1.9961459237265271e-07
Duck_2_7.ld,r2GLS,AIC,-494732661.23096579
Duck_2_7.ld,r2GLS,init,0.085210043011996806
Duck_2_7.ld,r2GLS,lam,-1.9260287353234195e-07
Duck_2_8.ld,r2GLS,AIC,-493532034.01970381
Duck_2_8.ld,r2GLS,init,0.084808370261043334
Duck_2_8.ld,r2GLS,lam,-1.8986655204971936e-07
Duck_2_9.ld,r2GLS,AIC,-494232289.4944129
Duck_2_9.ld,r2GLS,init,0.08477044495708215
Duck_2_9.ld,r2GLS,lam,-1.9705482862249441e-07
Duck_3_10.ld,r2GLS,AIC,-494446036.68889362
Duck_3_10.ld,r2GLS,init,0.084530965747012646
Duck_3_10.ld,r2GLS,lam,-1.8783689780720944e-07
Duck_3_1.ld,r2GLS,AIC,-495177547.80616492
Duck_3_1.ld,r2GLS,init,0.08437795297996678
Duck_3_1.ld,r2GLS,lam,-1.8024940569454621e-07
Duck_3_2.ld,r2GLS,AIC,-494032127.16810149
Duck_3_2.ld,r2GLS,init,0.085644611263149067
Duck_3_2.ld,r2GLS,lam,-1.9902136536326016e-07
Duck_3_3.ld,r2GLS,AIC,-494291708.58119714
Duck_3_3.ld,r2GLS,init,0.084579046654816012
Duck_3_3.ld,r2GLS,lam,-1.9630406409288002e-07
Duck_3_4.ld,r2GLS,AIC,-494047628.26678509
Duck_3_4.ld,r2GLS,init,0.084767935122102497
Duck_3_4.ld,r2GLS,lam,-1.9066063973024159e-07
Duck_3_5.ld,r2GLS,AIC,-493195354.12210917
Duck_3_5.ld,r2GLS,init,0.08514154787366883
Duck_3_5.ld,r2GLS,lam,-2.1171718130271582e-07
Duck_3_6.ld,r2GLS,AIC,-494851966.5916208
Duck_3_6.ld,r2GLS,init,0.085067005295661191
Duck_3_6.ld,r2GLS,lam,-2.1072990570683945e-07
Duck_3_7.ld,r2GLS,AIC,-494611415.57776773
Duck_3_7.ld,r2GLS,init,0.085042431056109258
Duck_3_7.ld,r2GLS,lam,-2.0595374892182705e-07
Duck_3_8.ld,r2GLS,AIC,-494576536.42597431
Duck_3_8.ld,r2GLS,init,0.085186682180457204
Duck_3_8.ld,r2GLS,lam,-1.8792932155951356e-07
Duck_3_9.ld,r2GLS,AIC,-494339520.67012113
Duck_3_9.ld,r2GLS,init,0.084863891757132742
Duck_3_9.ld,r2GLS,lam,-1.8055499074913053e-07
Duck_4_10.ld,r2GLS,AIC,-494741750.89796358
Duck_4_10.ld,r2GLS,init,0.084695878990193305
Duck_4_10.ld,r2GLS,lam,-1.9947115942193421e-07
Duck_4_1.ld,r2GLS,AIC,-493475243.78745627
Duck_4_1.ld,r2GLS,init,0.085094810977879201
