Data_Set,Data Type,Parameter,Value
Duck_10_10.ld,r2Pear,AIC,-613192332.05950165
Duck_10_10.ld,r2Pear,init,0.068206817764559044
Duck_10_10.ld,r2Pear,lam,-2.3775272781865066e-07
Duck_10_1.ld,r2Pear,AIC,-614342231.62120914
Duck_10_1.ld,r2Pear,init,0.068217074775216532
Duck_10_1.ld,r2Pear,lam,-2.4094850830172641e-07
Duck_10_2.ld,r2Pear,AIC,-613417339.44977522
Duck_10_2.ld,r2Pear,init,0.068089388923839242
Duck_10_2.ld,r2Pear,lam,-2.2539089877165769e-07
Duck_10_3.ld,r2Pear,AIC,-613014087.37292957
Duck_10_3.ld,r2Pear,init,0.067640101402062322
Duck_10_3.ld,r2Pear,lam,-2.1376896701615477e-07
Duck_10_4.ld,r2Pear,AIC,-611435230.25276673
Duck_10_4.ld,r2Pear,init,0.068452102584669383
Duck_10_4.ld,r2Pear,lam,-2.2315452887100289e-07
Duck_10_5.ld,r2Pear,AIC,-613589062.66000974
Duck_10_5.ld,r2Pear,init,0.068365276174574163
Duck_10_5.ld,r2Pear,lam,-2.2955883289288628e-07
Duck_10_6.ld,r2Pear,AIC,-612132569.83365583
Duck_10_6.ld,r2Pear,init,0.0679617788413511
Duck_10_6.ld,r2Pear,lam,-2.1879030014783887e-07
Duck_10_7.ld,r2Pear,AIC,-612392012.80561292
Duck_10_7.ld,r2Pear,init,0.068243479988262287
Duck_10_7.ld,r2Pear,lam,-2.2547471218110545e-07
Duck_10_8.ld,r2Pear,AIC,-613988623.28398836
Duck_10_8.ld,r2Pear,init,0.068155818347142905
Duck_10_8.ld,r2Pear,lam,-2.221593552721405e-07
Duck_10_9.ld,r2Pear,AIC,-613366110.49747252
Duck_10_9.ld,r2Pear,init,0.067949856061436845
Duck_10_9.ld,r2Pear,lam,-2.251426566469137e-07
Duck_1_10.ld,r2Pear,AIC,-614151328.35327291
Duck_1_10.ld,r2Pear,init,0.068122440756790206
Duck_1_10.ld,r2Pear,lam,-2.2952184062990046e-07
Duck_1_1.ld,r2Pear,AIC,-614205344.06365979
Duck_1_1.ld,r2Pear,init,0.068279732569636944
Duck_1_1.ld,r2Pear,lam,-2.3698574277043149e-07
Duck_1_2.ld,r2Pear,AIC,-611895420.97002625
Duck_1_2.ld,r2Pear,init,0.067948176941991706
Duck_1_2.ld,r2Pear,lam,-2.1228304315524829e-07
Duck_1_3.ld,r2Pear,AIC,-612766834.75357664
Duck_1_3.ld,r2Pear,init,0.067828525444145055
Duck_1_3.ld,r2Pear,lam,-2.1278579727514112e-07
Duck_1_4.ld,r2Pear,AIC,-613903578.03463364
Duck_1_4.ld,r2Pear,init,0.06786542981977281
Duck_1_4.ld,r2Pear,lam,-2.2607379914271161e-07
Duck_1_5.ld,r2Pear,AIC,-614931113.00114048
Duck_1_5.ld,r2Pear,init,0.068212233430122601
Duck_1_5.ld,r2Pear,lam,-2.375419477655908e-07
Duck_1_6.ld,r2Pear,AIC,-612404888.65584898
Duck_1_6.ld,r2Pear,init,0.068362945731251581
Duck_1_6.ld,r2Pear,lam,-2.3643464277062728e-07
Duck_1_7.ld,r2Pear,AIC,-612648890.81443036
Duck_1_7.ld,r2Pear,init,0.068317803370222266
Duck_1_7.ld,r2Pear,lam,-2.3287331379293064e-07
Duck_1_8.ld,r2Pear,AIC,-613696208.46191561
Duck_1_8.ld,r2Pear,init,0.068426407020512836
Duck_1_8.ld,r2Pear,lam,-2.3510916682332382e-07
Duck_1_9.ld,r2Pear,AIC,-617382176.57183909
Duck_1_9.ld,r2Pear,init,0.067833855512113198
Duck_1_9.ld,r2Pear,lam,-2.4001234278860193e-07
Duck_2_10.ld,r2Pear,AIC,-613162201.46974838
Duck_2_10.ld,r2Pear,init,0.067762022172201689
Duck_2_10.ld,r2Pear,lam,-2.2970095640576531e-07
Duck_2_1.ld,r2Pear,AIC,-612382051.46783102
Duck_2_1.ld,r2Pear,init,0.068074461567997208
Duck_2_1.ld,r2Pear,lam,-2.291135825887948e-07
Duck_2_2.ld,r2Pear,AIC,-613261333.31697154
Duck_2_2.ld,r2Pear,init,0.068227881840703358
Duck_2_2.ld,r2Pear,lam,-2.3723450669426179e-07
Duck_2_3.ld,r2Pear,AIC,-613641070.67265201
Duck_2_3.ld,r2Pear,init,0.068065099545269472
Duck_2_3.ld,r2Pear,lam,-2.2084814881041632e-07
Duck_2_4.ld,r2Pear,AIC,-612032829.71300519
Duck_2_4.ld,r2Pear,init,0.06820977372633602
Duck_2_4.ld,r2Pear,lam,-2.2586285121586212e-07
Duck_2_5.ld,r2Pear,AIC,-615227148.83356702
Duck_2_5.ld,r2Pear,init,0.067682648670892659
Duck_2_5.ld,r2Pear,lam,-2.1778321641548928e-07
Duck_2_6.ld,r2Pear,AIC,-615066450.61927605
Duck_2_6.ld,r2Pear,init,0.06809991698530958
Duck_2_6.ld,r2Pear,lam,-2.4357659692316586e-07
Duck_2_7.ld,r2Pear,AIC,-614108446.89618111
Duck_2_7.ld,r2Pear,init,0.067746748489213332
Duck_2_7.ld,r2Pear,lam,-2.1077856855100132e-07
Duck_2_8.ld,r2Pear,AIC,-612556329.17991841
Duck_2_8.ld,r2Pear,init,0.068249032634001283
Duck_2_8.ld,r2Pear,lam,-2.2467988449545721e-07
Duck_2_9.ld,r2Pear,AIC,-612617903.86574042
Duck_2_9.ld,r2Pear,init,0.068306583370124949
Duck_2_9.ld,r2Pear,lam,-2.3193909609072821e-07
Duck_3_10.ld,r2Pear,AIC,-614744386.02953243
Duck_3_10.ld,r2Pear,init,0.068030071009541448
Duck_3_10.ld,r2Pear,lam,-2.4282114553322563e-07
Duck_3_1.ld,r2Pear,AIC,-611637206.46037495
Duck_3_1.ld,r2Pear,init,0.068415199649051031
Duck_3_1.ld,r2Pear,lam,-2.3596423009731683e-07
Duck_3_2.ld,r2Pear,AIC,-614839487.19788027
Duck_3_2.ld,r2Pear,init,0.068227818222090633
Duck_3_2.ld,r2Pear,lam,-2.3892723596172392e-07
Duck_3_3.ld,r2Pear,AIC,-613443982.60217369
Duck_3_3.ld,r2Pear,init,0.067932394852397091
Duck_3_3.ld,r2Pear,lam,-2.2084331897881227e-07
Duck_3_4.ld,r2Pear,AIC,-615082876.60058546
Duck_3_4.ld,r2Pear,init,0.068168682067848929
Duck_3_4.ld,r2Pear,lam,-2.4059721544355286e-07
Duck_3_5.ld,r2Pear,AIC,-612452454.69236267
Duck_3_5.ld,r2Pear,init,0.068346570750533714
Duck_3_5.ld,r2Pear,lam,-2.3391876866163673e-07
Duck_3_6.ld,r2Pear,AIC,-612701207.19250083
Duck_3_6.ld,r2Pear,init,0.067856789475272045
Duck_3_6.ld,r2Pear,lam,-2.2370754312882081e-07
Duck_3_7.ld,r2Pear,AIC,-611695292.08294058
Duck_3_7.ld,r2Pear,init,0.068254391069600892
Duck_3_7.ld,r2Pear,lam,-2.3080508293013759e-07
Duck_3_8.ld,r2Pear,AIC,-613899782.21170783
Duck_3_8.ld,r2Pear,init,0.068185788224465971
Duck_3_8.ld,r2Pear,lam,-2.3140840466313054e-07
Duck_3_9.ld,r2Pear,AIC,-612801697.14567637
Duck_3_9.ld,r2Pear,init,0.068098308141160149
Duck_3_9.ld,r2Pear,lam,-2.2919851702939631e-07
Duck_4_10.ld,r2Pear,AIC,-613366657.23155069
Duck_4_10.ld,r2Pear,init,0.068702705468654743
Duck_4_10.ld,r2Pear,lam,-2.380024107934612e-07
Duck_4_1.ld,r2Pear,AIC,-614534773.48140597
Duck_4_1.ld,r2Pear,init,0.067908807121221784
Duck_4_1.ld,r2Pear,lam,-2.2877346167720934e-07
Duck_4_2.ld,r2Pear,AIC,-612229317.83949697
Duck_4_2.ld,r2Pear,init,0.068560277653882548
Duck_4_2.ld,r2Pear,lam,-2.2417651936841435e-07
Duck_4_3.ld,r2Pear,AIC,-611242822.62597525
Duck_4_3.ld,r2Pear,init,0.068257108454473497
Duck_4_3.ld,r2Pear,lam,-2.3319210136810134e-07
Duck_4_4.ld,r2Pear,AIC,-612335233.83592391
Duck_4_4.ld,r2Pear,init,0.067937355041386441
Duck_4_4.ld,r2Pear,lam,-2.1791233275881808e-07
Duck_4_5.ld,r2Pear,AIC,-612783475.92049074
Duck_4_5.ld,r2Pear,init,0.068130869612165412
Duck_4_5.ld,r2Pear,lam,-2.2690668892036807e-07
Duck_4_6.ld,r2Pear,AIC,-613332075.65833592
Duck_4_6.ld,r2Pear,init,0.06847556360826651
Duck_4_6.ld,r2Pear,lam,-2.3274515937916509e-07
Duck_4_7.ld,r2Pear,AIC,-613966406.49930072
Duck_4_7.ld,r2Pear,init,0.068262229655194864
Duck_4_7.ld,r2Pear,lam,-2.4035922425428798e-07
Duck_4_8.ld,r2Pear,AIC,-613232212.81321681
Duck_4_8.ld,r2Pear,init,0.068255714803960851
Duck_4_8.ld,r2Pear,lam,-2.3175602712289852e-07
Duck_4_9.ld,r2Pear,AIC,-614795782.56787145
Duck_4_9.ld,r2Pear,init,0.06782828384804343
Duck_4_9.ld,r2Pear,lam,-2.19961044894721e-07
Duck_5_10.ld,r2Pear,AIC,-613835032.08456802
Duck_5_10.ld,r2Pear,init,0.068591009400474898
Duck_5_10.ld,r2Pear,lam,-2.5211607409643842e-07
Duck_5_1.ld,r2Pear,AIC,-611302006.85682321
Duck_5_1.ld,r2Pear,init,0.06857153866363859
Duck_5_1.ld,r2Pear,lam,-2.3656139816878917e-07
Duck_5_2.ld,r2Pear,AIC,-612264840.1669898
Duck_5_2.ld,r2Pear,init,0.068607592492501104
