Data_Set,Data Type,Parameter,Value
Turkey_10_10.ld,r2GLS,AIC,-488325966.74455214
Turkey_10_10.ld,r2GLS,init,0.15933443673939807
Turkey_10_10.ld,r2GLS,lam,-3.3170606598250228e-07
Turkey_10_1.ld,r2GLS,AIC,-484340116.36191881
Turkey_10_1.ld,r2GLS,init,0.15945199796603096
Turkey_10_1.ld,r2GLS,lam,-3.1813621981977009e-07
Turkey_10_2.ld,r2GLS,AIC,-488616450.67945331
Turkey_10_2.ld,r2GLS,init,0.15723644046281349
Turkey_10_2.ld,r2GLS,lam,-3.0700883878014859e-07
Turkey_10_3.ld,r2GLS,AIC,-487167140.93642843
Turkey_10_3.ld,r2GLS,init,0.15973117113208757
Turkey_10_3.ld,r2GLS,lam,-3.1244452295039739e-07
Turkey_10_4.ld,r2GLS,AIC,-485965200.81636554
Turkey_10_4.ld,r2GLS,init,0.16025258392526101
Turkey_10_4.ld,r2GLS,lam,-3.038355022104557e-07
Turkey_10_5.ld,r2GLS,AIC,-486589525.49587995
Turkey_10_5.ld,r2GLS,init,0.15879831146483586
Turkey_10_5.ld,r2GLS,lam,-3.049962028727462e-07
Turkey_10_6.ld,r2GLS,AIC,-490542380.57898104
Turkey_10_6.ld,r2GLS,init,0.15678456461161067
Turkey_10_6.ld,r2GLS,lam,-3.1906860934869418e-07
Turkey_10_7.ld,r2GLS,AIC,-490072412.58292472
Turkey_10_7.ld,r2GLS,init,0.15822577509980443
Turkey_10_7.ld,r2GLS,lam,-3.1534397759258128e-07
Turkey_10_8.ld,r2GLS,AIC,-487603217.13205081
Turkey_10_8.ld,r2GLS,init,0.15727965992109239
Turkey_10_8.ld,r2GLS,lam,-3.0504265510511095e-07
Turkey_10_9.ld,r2GLS,AIC,-491062977.07158709
Turkey_10_9.ld,r2GLS,init,0.1568706844965797
Turkey_10_9.ld,r2GLS,lam,-3.1839673042430166e-07
Turkey_1_10.ld,r2GLS,AIC,-489874502.44426966
Turkey_1_10.ld,r2GLS,init,0.15609990663191206
Turkey_1_10.ld,r2GLS,lam,-2.9889362399032065e-07
Turkey_1_1.ld,r2GLS,AIC,-487163088.77284217
Turkey_1_1.ld,r2GLS,init,0.15709012455178648
Turkey_1_1.ld,r2GLS,lam,-2.9339215176491456e-07
Turkey_1_2.ld,r2GLS,AIC,-488211937.06654167
Turkey_1_2.ld,r2GLS,init,0.15685100529638488
Turkey_1_2.ld,r2GLS,lam,-3.0894055802975333e-07
Turkey_1_3.ld,r2GLS,AIC,-492146143.44584471
Turkey_1_3.ld,r2GLS,init,0.15534554247643445
Turkey_1_3.ld,r2GLS,lam,-3.1090136728283187e-07
Turkey_1_4.ld,r2GLS,AIC,-489356806.87873787
Turkey_1_4.ld,r2GLS,init,0.15702894674886919
Turkey_1_4.ld,r2GLS,lam,-2.9841039142719463e-07
Turkey_1_5.ld,r2GLS,AIC,-491712560.98789358
Turkey_1_5.ld,r2GLS,init,0.15789913721299129
Turkey_1_5.ld,r2GLS,lam,-3.5426484084360197e-07
Turkey_1_6.ld,r2GLS,AIC,-489066636.11743027
Turkey_1_6.ld,r2GLS,init,0.15764416523074967
Turkey_1_6.ld,r2GLS,lam,-2.9877009688040345e-07
Turkey_1_7.ld,r2GLS,AIC,-493209343.44223058
Turkey_1_7.ld,r2GLS,init,0.15396032018617445
Turkey_1_7.ld,r2GLS,lam,-3.1692694364312834e-07
Turkey_1_8.ld,r2GLS,AIC,-489378546.01780623
Turkey_1_8.ld,r2GLS,init,0.15694250234978688
Turkey_1_8.ld,r2GLS,lam,-3.2012355381483437e-07
Turkey_1_9.ld,r2GLS,AIC,-487657300.47806805
Turkey_1_9.ld,r2GLS,init,0.16022087412585265
Turkey_1_9.ld,r2GLS,lam,-3.354672458961096e-07
Turkey_2_10.ld,r2GLS,AIC,-487208489.77797377
Turkey_2_10.ld,r2GLS,init,0.15894822309667139
Turkey_2_10.ld,r2GLS,lam,-3.2572860176980763e-07
Turkey_2_1.ld,r2GLS,AIC,-490119135.44522911
Turkey_2_1.ld,r2GLS,init,0.1569140101736809
Turkey_2_1.ld,r2GLS,lam,-3.012465563092255e-07
Turkey_2_2.ld,r2GLS,AIC,-486734112.53660917
Turkey_2_2.ld,r2GLS,init,0.15730159314188716
Turkey_2_2.ld,r2GLS,lam,-2.9007939383096307e-07
Turkey_2_3.ld,r2GLS,AIC,-487775344.48444861
Turkey_2_3.ld,r2GLS,init,0.15863611329934632
Turkey_2_3.ld,r2GLS,lam,-3.0996856970276334e-07
Turkey_2_4.ld,r2GLS,AIC,-486676066.10616726
Turkey_2_4.ld,r2GLS,init,0.15965342552907832
Turkey_2_4.ld,r2GLS,lam,-3.2816397320060907e-07
Turkey_2_5.ld,r2GLS,AIC,-488543770.7257362
Turkey_2_5.ld,r2GLS,init,0.15933665252943247
Turkey_2_5.ld,r2GLS,lam,-3.0364692074143011e-07
Turkey_2_6.ld,r2GLS,AIC,-492712567.53268886
Turkey_2_6.ld,r2GLS,init,0.15567546198936802
Turkey_2_6.ld,r2GLS,lam,-3.2144688697847747e-07
Turkey_2_7.ld,r2GLS,AIC,-488178686.38335013
Turkey_2_7.ld,r2GLS,init,0.15766183910232462
Turkey_2_7.ld,r2GLS,lam,-3.1095266737417707e-07
Turkey_2_8.ld,r2GLS,AIC,-490489174.4502055
Turkey_2_8.ld,r2GLS,init,0.15725714869457436
Turkey_2_8.ld,r2GLS,lam,-3.2056899793111778e-07
Turkey_2_9.ld,r2GLS,AIC,-490719203.19164854
Turkey_2_9.ld,r2GLS,init,0.15628469355780575
Turkey_2_9.ld,r2GLS,lam,-3.189623794870901e-07
Turkey_3_10.ld,r2GLS,AIC,-489026300.56771189
Turkey_3_10.ld,r2GLS,init,0.15817433939095848
Turkey_3_10.ld,r2GLS,lam,-3.2431286963645828e-07
Turkey_3_1.ld,r2GLS,AIC,-487423926.43411869
Turkey_3_1.ld,r2GLS,init,0.15940529131275727
Turkey_3_1.ld,r2GLS,lam,-3.1849638416984896e-07
Turkey_3_2.ld,r2GLS,AIC,-488696572.11258388
Turkey_3_2.ld,r2GLS,init,0.15573835804021813
Turkey_3_2.ld,r2GLS,lam,-3.117106436179741e-07
Turkey_3_3.ld,r2GLS,AIC,-487536119.3971101
Turkey_3_3.ld,r2GLS,init,0.15732898306075399
Turkey_3_3.ld,r2GLS,lam,-3.0044413450498497e-07
Turkey_3_4.ld,r2GLS,AIC,-486379052.31261432
Turkey_3_4.ld,r2GLS,init,0.1576067498268772
Turkey_3_4.ld,r2GLS,lam,-3.0510093879845186e-07
Turkey_3_5.ld,r2GLS,AIC,-488678349.73548585
Turkey_3_5.ld,r2GLS,init,0.15791444352269568
Turkey_3_5.ld,r2GLS,lam,-3.4089668768135493e-07
Turkey_3_6.ld,r2GLS,AIC,-490406597.27893496
Turkey_3_6.ld,r2GLS,init,0.15718135056069077
Turkey_3_6.ld,r2GLS,lam,-3.0608485094203062e-07
Turkey_3_7.ld,r2GLS,AIC,-489706390.8144263
