Data_Set,Data Type,Parameter,Value
Turkey_10_10.ld,r2Pear,AIC,-628514248.96160161
Turkey_10_10.ld,r2Pear,init,0.11561813273978543
Turkey_10_10.ld,r2Pear,lam,-2.6038731991225918e-07
Turkey_10_1.ld,r2Pear,AIC,-629665622.1614753
Turkey_10_1.ld,r2Pear,init,0.11610984385918278
Turkey_10_1.ld,r2Pear,lam,-2.50684074435518e-07
Turkey_10_2.ld,r2Pear,AIC,-623574139.87838221
Turkey_10_2.ld,r2Pear,init,0.11790523427720707
Turkey_10_2.ld,r2Pear,lam,-2.7479561693426895e-07
Turkey_10_3.ld,r2Pear,AIC,-629234197.79894006
Turkey_10_3.ld,r2Pear,init,0.11468472022854224
Turkey_10_3.ld,r2Pear,lam,-2.4306341577430596e-07
Turkey_10_4.ld,r2Pear,AIC,-627616668.78429639
Turkey_10_4.ld,r2Pear,init,0.11622200488903543
Turkey_10_4.ld,r2Pear,lam,-2.658086881008969e-07
Turkey_10_5.ld,r2Pear,AIC,-630783397.03055179
Turkey_10_5.ld,r2Pear,init,0.11436642848567388
Turkey_10_5.ld,r2Pear,lam,-2.6312656325955099e-07
Turkey_10_6.ld,r2Pear,AIC,-628835000.4709872
Turkey_10_6.ld,r2Pear,init,0.11504865787954531
Turkey_10_6.ld,r2Pear,lam,-2.6226646402323244e-07
Turkey_10_7.ld,r2Pear,AIC,-625164659.16869557
Turkey_10_7.ld,r2Pear,init,0.11687305441582811
Turkey_10_7.ld,r2Pear,lam,-2.6651755630691382e-07
Turkey_10_8.ld,r2Pear,AIC,-624094695.5019902
Turkey_10_8.ld,r2Pear,init,0.11684703046299146
Turkey_10_8.ld,r2Pear,lam,-2.4773623871145069e-07
Turkey_10_9.ld,r2Pear,AIC,-625413584.84750116
Turkey_10_9.ld,r2Pear,init,0.1180084978591026
Turkey_10_9.ld,r2Pear,lam,-2.6547459735866208e-07
Turkey_1_10.ld,r2Pear,AIC,-625921352.65073538
Turkey_1_10.ld,r2Pear,init,0.11804202381961423
Turkey_1_10.ld,r2Pear,lam,-2.865999180072117e-07
Turkey_1_1.ld,r2Pear,AIC,-626360426.41521049
Turkey_1_1.ld,r2Pear,init,0.11782066713389069
Turkey_1_1.ld,r2Pear,lam,-2.9016129970642251e-07
Turkey_1_2.ld,r2Pear,AIC,-631556602.08311856
Turkey_1_2.ld,r2Pear,init,0.11619481947470184
Turkey_1_2.ld,r2Pear,lam,-2.6612419237953976e-07
Turkey_1_3.ld,r2Pear,AIC,-625445670.50937271
Turkey_1_3.ld,r2Pear,init,0.11718182712520998
Turkey_1_3.ld,r2Pear,lam,-2.6667329564622873e-07
Turkey_1_4.ld,r2Pear,AIC,-632011134.8428719
Turkey_1_4.ld,r2Pear,init,0.11450630859082855
Turkey_1_4.ld,r2Pear,lam,-2.6096783936514387e-07
Turkey_1_5.ld,r2Pear,AIC,-631999310.50338936
Turkey_1_5.ld,r2Pear,init,0.11483995123233474
Turkey_1_5.ld,r2Pear,lam,-2.4596062819384557e-07
Turkey_1_6.ld,r2Pear,AIC,-630682252.54214048
Turkey_1_6.ld,r2Pear,init,0.11560144175178497
Turkey_1_6.ld,r2Pear,lam,-2.6546554556611235e-07
Turkey_1_7.ld,r2Pear,AIC,-631928283.7806778
Turkey_1_7.ld,r2Pear,init,0.11398271517268609
Turkey_1_7.ld,r2Pear,lam,-2.3790487247104547e-07
Turkey_1_8.ld,r2Pear,AIC,-632945545.00839186
Turkey_1_8.ld,r2Pear,init,0.1128385809730023
Turkey_1_8.ld,r2Pear,lam,-2.3084604050640872e-07
Turkey_1_9.ld,r2Pear,AIC,-625849332.21388507
Turkey_1_9.ld,r2Pear,init,0.11760147577754629
Turkey_1_9.ld,r2Pear,lam,-2.834025741762373e-07
Turkey_2_10.ld,r2Pear,AIC,-629573003.61025119
Turkey_2_10.ld,r2Pear,init,0.11595077131640731
Turkey_2_10.ld,r2Pear,lam,-2.7516108974225684e-07
Turkey_2_1.ld,r2Pear,AIC,-627734900.50638402
Turkey_2_1.ld,r2Pear,init,0.11646292798029645
Turkey_2_1.ld,r2Pear,lam,-2.7747395718630274e-07
Turkey_2_2.ld,r2Pear,AIC,-634326642.83141875
Turkey_2_2.ld,r2Pear,init,0.11505475693007994
Turkey_2_2.ld,r2Pear,lam,-2.5704205654573329e-07
Turkey_2_3.ld,r2Pear,AIC,-623128035.44606161
Turkey_2_3.ld,r2Pear,init,0.11766053299930403
Turkey_2_3.ld,r2Pear,lam,-2.6039847666308085e-07
Turkey_2_4.ld,r2Pear,AIC,-632266801.46324348
Turkey_2_4.ld,r2Pear,init,0.11473465402651527
Turkey_2_4.ld,r2Pear,lam,-2.5604664040503449e-07
Turkey_2_5.ld,r2Pear,AIC,-621600951.76658475
Turkey_2_5.ld,r2Pear,init,0.11812327545607654
Turkey_2_5.ld,r2Pear,lam,-2.8143022823019198e-07
Turkey_2_6.ld,r2Pear,AIC,-633214708.29701364
Turkey_2_6.ld,r2Pear,init,0.11507326976954445
Turkey_2_6.ld,r2Pear,lam,-2.5634155128867602e-07
Turkey_2_7.ld,r2Pear,AIC,-630379405.09349525
Turkey_2_7.ld,r2Pear,init,0.11590767913337954
Turkey_2_7.ld,r2Pear,lam,-2.5107822401907599e-07
Turkey_2_8.ld,r2Pear,AIC,-628305272.79013884
Turkey_2_8.ld,r2Pear,init,0.11689416797451549
Turkey_2_8.ld,r2Pear,lam,-2.5353928400876682e-07
Turkey_2_9.ld,r2Pear,AIC,-632447104.38201618
Turkey_2_9.ld,r2Pear,init,0.11487282353357753
Turkey_2_9.ld,r2Pear,lam,-2.6014287896406623e-07
Turkey_3_10.ld,r2Pear,AIC,-625204170.2154175
Turkey_3_10.ld,r2Pear,init,0.11737254387118433
Turkey_3_10.ld,r2Pear,lam,-2.7824300238421644e-07
Turkey_3_1.ld,r2Pear,AIC,-626303718.93421555
Turkey_3_1.ld,r2Pear,init,0.11625938632233297
Turkey_3_1.ld,r2Pear,lam,-2.5275022242199477e-07
Turkey_3_2.ld,r2Pear,AIC,-628355826.32547367
Turkey_3_2.ld,r2Pear,init,0.11679306318041892
Turkey_3_2.ld,r2Pear,lam,-2.5439923832862024e-07
Turkey_3_3.ld,r2Pear,AIC,-628935622.66446865
Turkey_3_3.ld,r2Pear,init,0.1165416386896073
Turkey_3_3.ld,r2Pear,lam,-2.6612715774751009e-07
Turkey_3_4.ld,r2Pear,AIC,-626262765.50243902
Turkey_3_4.ld,r2Pear,init,0.11820707229112624
Turkey_3_4.ld,r2Pear,lam,-2.5471420729542444e-07
Turkey_3_5.ld,r2Pear,AIC,-620837548.46286893
Turkey_3_5.ld,r2Pear,init,0.11786812875653929
Turkey_3_5.ld,r2Pear,lam,-2.6196235055607146e-07
Turkey_3_6.ld,r2Pear,AIC,-632917451.10992205
Turkey_3_6.ld,r2Pear,init,0.11500176876189445
Turkey_3_6.ld,r2Pear,lam,-2.612639811707127e-07
Turkey_3_7.ld,r2Pear,AIC,-635415736.41842675
Turkey_3_7.ld,r2Pear,init,0.1148699028950551
Turkey_3_7.ld,r2Pear,lam,-2.7288152281480912e-07
Turkey_3_8.ld,r2Pear,AIC,-630919206.2170347
Turkey_3_8.ld,r2Pear,init,0.11623009673453447
Turkey_3_8.ld,r2Pear,lam,-2.6261698936068451e-07
Turkey_3_9.ld,r2Pear,AIC,-629085651.03658938
Turkey_3_9.ld,r2Pear,init,0.11632644171981556
Turkey_3_9.ld,r2Pear,lam,-2.6105153836308792e-07
Turkey_4_10.ld,r2Pear,AIC,-628530659.12515593
Turkey_4_10.ld,r2Pear,init,0.11620229078870187
Turkey_4_10.ld,r2Pear,lam,-2.5331062629416494e-07
Turkey_4_1.ld,r2Pear,AIC,-629347208.73035061
Turkey_4_1.ld,r2Pear,init,0.11552323178440278
Turkey_4_1.ld,r2Pear,lam,-2.5231477207092272e-07
Turkey_4_2.ld,r2Pear,AIC,-631531923.11512256
Turkey_4_2.ld,r2Pear,init,0.11622664991464614
Turkey_4_2.ld,r2Pear,lam,-2.6740603775953853e-07
Turkey_4_3.ld,r2Pear,AIC,-627352495.33224213
Turkey_4_3.ld,r2Pear,init,0.1161591922265774
Turkey_4_3.ld,r2Pear,lam,-2.6908394055272253e-07
Turkey_4_4.ld,r2Pear,AIC,-630352392.28244746
Turkey_4_4.ld,r2Pear,init,0.11572798760465726
Turkey_4_4.ld,r2Pear,lam,-2.7765786575301541e-07
Turkey_4_5.ld,r2Pear,AIC,-626670671.17430496
Turkey_4_5.ld,r2Pear,init,0.11736475940200945
Turkey_4_5.ld,r2Pear,lam,-2.5559459238289993e-07
Turkey_4_6.ld,r2Pear,AIC,-628646222.15243435
Turkey_4_6.ld,r2Pear,init,0.11659684552841007
Turkey_4_6.ld,r2Pear,lam,-2.5732654148164516e-07
Turkey_4_7.ld,r2Pear,AIC,-630412670.23076069
Turkey_4_7.ld,r2Pear,init,0.11505165458098172
Turkey_4_7.ld,r2Pear,lam,-2.5668060119081567e-07
Turkey_4_8.ld,r2Pear,AIC,-621569690.53575933
Turkey_4_8.ld,r2Pear,init,0.11920151309983995
Turkey_4_8.ld,r2Pear,lam,-2.5382067886085679e-07
Turkey_4_9.ld,r2Pear,AIC,-633629891.61825538
Turkey_4_9.ld,r2Pear,init,0.11411228925158336
Turkey_4_9.ld,r2Pear,lam,-2.7023681471026233e-07
Turkey_5_10.ld,r2Pear,AIC,-630069626.28439808
Turkey_5_10.ld,r2Pear,init,0.11698112011993658
Turkey_5_10.ld,r2Pear,lam,-2.7650117815062697e-07
Turkey_5_1.ld,r2Pear,AIC,-631653577.53605759
Turkey_5_1.ld,r2Pear,init,0.11533139150349826
Turkey_5_1.ld,r2Pear,lam,-2.6709299563964101e-07
Turkey_5_2.ld,r2Pear,AIC,-628181472.58454645
Turkey_5_2.ld,r2Pear,init,0.11659003341664552
Turkey_5_2.ld,r2Pear,lam,-2.6403840687867192e-07
Turkey_5_3.ld,r2Pear,AIC,-630502824.18651676
Turkey_5_3.ld,r2Pear,init,0.11637843123641889
Turkey_5_3.ld,r2Pear,lam,-2.5800593724778408e-07
Turkey_5_4.ld,r2Pear,AIC,-622385201.81084621
Turkey_5_4.ld,r2Pear,init,0.11798118871605213
Turkey_5_4.ld,r2Pear,lam,-2.7051296360929087e-07
Turkey_5_5.ld,r2Pear,AIC,-632208190.23257327
Turkey_5_5.ld,r2Pear,init,0.11462674142428095
Turkey_5_5.ld,r2Pear,lam,-2.5349238668369816e-07
Turkey_5_6.ld,r2Pear,AIC,-633669031.68737805
Turkey_5_6.ld,r2Pear,init,0.11549698051802143
Turkey_5_6.ld,r2Pear,lam,-2.656264016991727e-07
Turkey_5_7.ld,r2Pear,AIC,-631525383.18749321
