x,data
0.000000000000000000e+00,1.000000000000000000e+00
5.000250012500625019e+01,9.997500187498957747e-01
1.000050002500125004e+02,9.995000999904170014e-01
1.500075003750187648e+02,9.992502437059421760e-01
2.000100005000250007e+02,9.990004498808535693e-01
2.500125006250312367e+02,9.987507184995377818e-01
3.000150007500375295e+02,9.985010495463847446e-01
3.500175008750437655e+02,9.982514430057888299e-01
4.000200010000500015e+02,9.980018988621479625e-01
4.500225011250562375e+02,9.977524170998640640e-01
5.000250012500624734e+02,9.975029977033429418e-01
5.500275013750687094e+02,9.972536406569944001e-01
6.000300015000750591e+02,9.970043459452319068e-01
6.500325016250812951e+02,9.967551135524732597e-01
7.000350017500875310e+02,9.965059434631396984e-01
7.500375018750937670e+02,9.962568356616564591e-01
8.000400020001000030e+02,9.960077901324529970e-01
8.500425021251062390e+02,9.957588068599620978e-01
9.000450022501124749e+02,9.955098858286209884e-01
9.500475023751187109e+02,9.952610270228704481e-01
1.000050002500124947e+03,9.950122304271553642e-01
1.050052502625131183e+03,9.947634960259241765e-01
1.100055002750137419e+03,9.945148238036296551e-01
1.150057502875143655e+03,9.942662137447280113e-01
1.200060003000150118e+03,9.940176658336797866e-01
1.250062503125156354e+03,9.937691800549489640e-01
1.300065003250162590e+03,9.935207563930038566e-01
1.350067503375168826e+03,9.932723948323163299e-01
1.400070003500175062e+03,9.930240953573621354e-01
1.450072503625181298e+03,9.927758579526211324e-01
1.500075003750187534e+03,9.925276826025768440e-01
1.550077503875193770e+03,9.922795692917167898e-01
1.600080004000200006e+03,9.920315180045324865e-01
1.650082504125206242e+03,9.917835287255188925e-01
1.700085004250212478e+03,9.915356014391754069e-01
1.750087504375218714e+03,9.912877361300047596e-01
1.800090004500224950e+03,9.910399327825140103e-01
1.850092504625231186e+03,9.907921913812138826e-01
1.900095004750237422e+03,9.905445119106189855e-01
1.950097504875243658e+03,9.902968943552477032e-01
2.000100005000249894e+03,9.900493386996224165e-01
2.050102505125256357e+03,9.898018449282695030e-01
2.100105005250262366e+03,9.895544130257188931e-01
2.150107505375268829e+03,9.893070429765046248e-01
2.200110005500274838e+03,9.890597347651645110e-01
2.250112505625281301e+03,9.888124883762401396e-01
2.300115005750287310e+03,9.885653037942772059e-01
2.350117505875293773e+03,9.883181810038250692e-01
2.400120006000300236e+03,9.880711199894370855e-01
2.450122506125306245e+03,9.878241207356702747e-01
2.500125006250312708e+03,9.875771832270856532e-01
2.550127506375318717e+03,9.873303074482482344e-01
2.600130006500325180e+03,9.870834933837264735e-01
2.650132506625331189e+03,9.868367410180932664e-01
2.700135006750337652e+03,9.865900503359248397e-01
2.750137506875343661e+03,9.863434213218014168e-01
2.800140007000350124e+03,9.860968539603074401e-01
2.850142507125356133e+03,9.858503482360305714e-01
2.900145007250362596e+03,9.856039041335629136e-01
2.950147507375368605e+03,9.853575216375000112e-01
3.000150007500375068e+03,9.851112007324415165e-01
3.050152507625381077e+03,9.848649414029907456e-01
3.100155007750387540e+03,9.846187436337550114e-01
3.150157507875393549e+03,9.843726074093455125e-01
3.200160008000400012e+03,9.841265327143770003e-01
3.250162508125406475e+03,9.838805195334683340e-01
3.300165008250412484e+03,9.836345678512421475e-01
3.350167508375418947e+03,9.833886776523250717e-01
3.400170008500424956e+03,9.831428489213471789e-01
3.450172508625431419e+03,9.828970816429428714e-01
3.500175008750437428e+03,9.826513758017499933e-01
3.550177508875443891e+03,9.824057313824104964e-01
3.600180009000449900e+03,9.821601483695699963e-01
3.650182509125456363e+03,9.819146267478779944e-01
3.700185009250462372e+03,9.816691665019879887e-01
3.750187509375468835e+03,9.814237676165570301e-01
3.800190009500474844e+03,9.811784300762462774e-01
3.850192509625481307e+03,9.809331538657205529e-01
3.900195009750487316e+03,9.806879389696485649e-01
3.950197509875493779e+03,9.804427853727029074e-01
4.000200010000499788e+03,9.801976930595597270e-01
