Set,Model,Variable,Value
Constant_2,EXP,AIC,-55165379.752608016
Constant_2,EXP,init,0.052665179743728731
Constant_2,EXP,lam,-4.1007430906407299e-09
Constant_2,LIN,AIC,-55165379.748368233
Constant_2,LIN,a,0.05266503729637808
Constant_2,LIN,b,-2.1531616281694266e-10
Constant_2,POLY2,AIC,-55165383.568454668
Constant_2,POLY2,a,0.052785207334603394
Constant_2,POLY2,b,-1.1802862004709295e-09
Constant_2,POLY2,c,1.2116759041281412e-15
Constant_2,POLY3,AIC,-55165381.575626753
Constant_2,POLY3,a,0.05278033424537381
Constant_2,POLY3,b,-1.1070224628689791e-09
Constant_2,POLY3,c,9.9113718512593403e-16
Constant_2,POLY3,d,1.7214634563192805e-22
Constant_Call2,EXP,AIC,-50254079.256184168
Constant_Call2,EXP,init,0.052701085262088831
Constant_Call2,EXP,lam,-2.6905015389537547e-09
Constant_Call2,LIN,AIC,-50254079.255703196
Constant_Call2,LIN,a,0.052700779635393151
Constant_Call2,LIN,b,-1.4077612128124762e-10
Constant_Call2,POLY2,AIC,-50254077.590567686
Constant_Call2,POLY2,a,0.052729988522751202
Constant_Call2,POLY2,b,-3.7402223050285749e-10
Constant_Call2,POLY2,c,2.9187433483532322e-16
Constant_Call2,POLY3,AIC,-50254079.570269108
Constant_Call2,POLY3,a,0.052845203299031591
Constant_Call2,POLY3,b,-2.1064929628877154e-09
Constant_Call2,POLY3,c,5.5066312034095395e-15
Constant_Call2,POLY3,d,-4.070077630097041e-21
Constant_5,EXP,AIC,-2115301.2343364349
Constant_5,EXP,init,0.05957718117555455
Constant_5,EXP,lam,-2.0443057949196157e-07
Constant_5,LIN,AIC,-2115277.715224728
Constant_5,LIN,a,0.059265235059594003
Constant_5,LIN,b,-1.063078501336234e-08
Constant_5,POLY2,AIC,-2115830.8802513429
Constant_5,POLY2,a,0.064269020265898688
Constant_5,POLY2,b,-5.1157529396395107e-08
Constant_5,POLY2,c,5.1246401707222688e-14
Constant_5,POLY3,AIC,-2116368.7106196135
Constant_5,POLY3,a,0.0699604848951699
Constant_5,POLY3,b,-1.3738617811993242e-07
Constant_5,POLY3,c,3.1242690267542748e-13
Constant_5,POLY3,d,-2.051489392577084e-19
Constant_Call5,EXP,AIC,-2107229.8046539626
Constant_Call5,EXP,init,0.059862148265730365
Constant_Call5,EXP,lam,-2.0933543143521322e-07
Constant_Call5,LIN,AIC,-2107204.9728174713
Constant_Call5,LIN,a,0.059537476434069272
Constant_Call5,LIN,b,-1.0912269955387301e-08
Constant_Call5,POLY2,AIC,-2107765.3752657189
Constant_Call5,POLY2,a,0.064591850748772855
Constant_Call5,POLY2,b,-5.1799724833068377e-08
Constant_Call5,POLY2,c,5.1666853644699718e-14
Constant_Call5,POLY3,AIC,-2108297.4747659015
Constant_Call5,POLY3,a,0.070253849076087588
Constant_Call5,POLY3,b,-1.3764794442773335e-07
Constant_Call5,POLY3,c,3.1192623452250155e-13
Constant_Call5,POLY3,d,-2.045185050620854e-19
Constant_10,EXP,AIC,-880886.75484918465
Constant_10,EXP,init,0.077005610090408849
Constant_10,EXP,lam,-6.4809465128020936e-07
Constant_10,LIN,AIC,-880639.9727464678
Constant_10,LIN,a,0.073757111858746435
Constant_10,LIN,b,-3.2624894550021065e-08
Constant_10,POLY2,AIC,-882641.59946700872
Constant_10,POLY2,a,0.090116005071223429
Constant_10,POLY2,b,-1.6562537699179534e-07
Constant_10,POLY2,c,1.6914444038581203e-13
Constant_10,POLY3,AIC,-884277.76726642763
Constant_10,POLY3,a,0.10705627985772936
Constant_10,POLY3,b,-4.236090464507074e-07
Constant_10,POLY3,c,9.5441558277447343e-13
Constant_10,POLY3,d,-6.196537852226662e-19
Constant_Call10,EXP,AIC,-879765.95860839169
Constant_Call10,EXP,init,0.076733520877622988
Constant_Call10,EXP,lam,-6.8341677554100404e-07
Constant_Call10,LIN,AIC,-879506.86269726348
Constant_Call10,LIN,a,0.07336664559914928
Constant_Call10,LIN,b,-3.4057942637262049e-08
Constant_Call10,POLY2,AIC,-881324.52901809022
Constant_Call10,POLY2,a,0.088966094028698151
Constant_Call10,POLY2,b,-1.6080987269850946e-07
Constant_Call10,POLY2,c,1.6104715520677041e-13
Constant_Call10,POLY3,AIC,-882985.50864934211
Constant_Call10,POLY3,a,0.10602182502636524
Constant_Call10,POLY3,b,-4.2012420813210379e-07
Constant_Call10,POLY3,c,9.5027835197854102e-13
Constant_Call10,POLY3,d,-6.2269186646858822e-19
Constant_20,EXP,AIC,-900180.45978088502
Constant_20,EXP,init,0.078799467526667361
Constant_20,EXP,lam,-7.4099467314190177e-07
Constant_20,LIN,AIC,-899845.53929077182
Constant_20,LIN,a,0.074760262196698152
Constant_20,LIN,b,-3.6292645800285069e-08
Constant_20,POLY2,AIC,-902168.17139731767
Constant_20,POLY2,a,0.092381947455606656
Constant_20,POLY2,b,-1.8025796455500958e-07
Constant_20,POLY2,c,1.8342390701847386e-13
Constant_20,POLY3,AIC,-904160.41349920002
Constant_20,POLY3,a,0.11110304193845585
Constant_20,POLY3,b,-4.6600106052940655e-07
Constant_20,POLY3,c,1.0551078109605083e-12
Constant_20,POLY3,d,-6.8917323071988378e-19
Constant_Call20,EXP,AIC,-905554.93086786277
Constant_Call20,EXP,init,0.077865853226913834
Constant_Call20,EXP,lam,-7.1316789006582536e-07
Constant_Call20,LIN,AIC,-905260.01437127683
Constant_Call20,LIN,a,0.074240951889896004
Constant_Call20,LIN,b,-3.5533432434128258e-08
Constant_Call20,POLY2,AIC,-907243.0575513629
Constant_Call20,POLY2,a,0.090347898408784683
Constant_Call20,POLY2,b,-1.669768992466056e-07
Constant_Call20,POLY2,c,1.6761451993010142e-13
Constant_Call20,POLY3,AIC,-908966.0933574196
Constant_Call20,POLY3,a,0.10754448940079919
Constant_Call20,POLY3,b,-4.2936553495868241e-07
Constant_Call20,POLY3,c,9.6841513493418717e-13
Constant_Call20,POLY3,d,-6.3355907797224007e-19
Constant_50,EXP,AIC,-910612.35441053484
Constant_50,EXP,init,0.077533951257272027
Constant_50,EXP,lam,-7.0045739469975375e-07
Constant_50,LIN,AIC,-910327.94452413032
Constant_50,LIN,a,0.073985871899584041
Constant_50,LIN,b,-3.489055952527704e-08
Constant_50,POLY2,AIC,-912305.04980432405
Constant_50,POLY2,a,0.090111364855606141
Constant_50,POLY2,b,-1.662675566552133e-07
Constant_50,POLY2,c,1.6739015051514989e-13
Constant_50,POLY3,AIC,-914076.50851470721
Constant_50,POLY3,a,0.10762376151289457
Constant_50,POLY3,b,-4.3308667011108997e-07
Constant_50,POLY3,c,9.8086069857644188e-13
Constant_50,POLY3,d,-6.4308627860597145e-19
Constant_Call50,EXP,AIC,-913841.50527977629
Constant_Call50,EXP,init,0.078065843390310599
Constant_Call50,EXP,lam,-7.0577287023154104e-07
Constant_Call50,LIN,AIC,-913535.16253835626
Constant_Call50,LIN,a,0.074295698023626539
Constant_Call50,LIN,b,-3.4795461477647589e-08
Constant_Call50,POLY2,AIC,-915834.93356023345
Constant_Call50,POLY2,a,0.091787832804371944
Constant_Call50,POLY2,b,-1.7722063024767577e-07
Constant_Call50,POLY2,c,1.8156749209644654e-13
Constant_Call50,POLY3,AIC,-917750.29624934739
Constant_Call50,POLY3,a,0.11007172838776803
Constant_Call50,POLY3,b,-4.558991027264698e-07
Constant_Call50,POLY3,c,1.0323905657207274e-12
Constant_Call50,POLY3,d,-6.7365544846478565e-19
